,Neighborhood,Lat,Lon,avg_sale_price_sqr_foot,avg_housing_units,avg_gross_rent
0,Alamo Square,37.791012,-122.4021,366.02071153227644,378401.0,2817.285714285714
1,Anza Vista,37.779598,-122.443451,373.38219782647707,379050.0,3031.8333333333335
2,Bayview,37.73467,-122.40106,204.58862288246596,376454.0,2318.4
3,Bayview Heights,37.72874,-122.41098,590.7928388746803,382295.0,3739.0
4,Bernal Heights,37.72863,-122.44305,576.7464881132383,379374.5,3080.3333333333335
5,Buena Vista Park,37.76816,-122.43933,452.6805909308441,378076.5,2698.8333333333335
6,Central Richmond,37.77789,-122.44517,394.42239878005887,378401.0,2817.285714285714
7,Central Sunset,37.74961,-122.48999,423.6879277015824,378401.0,2817.285714285714
8,Clarendon Heights,37.75331,-122.44703,487.2448860262576,376454.0,2250.5
9,Corona Heights,37.78553,-122.456,587.5390673661739,377232.8,2472.0
10,Cow Hollow,37.79298,-122.43579,665.9640415783227,378401.0,2817.285714285714
11,Croker Amazon,37.7228,-122.43869,303.00418440849427,378076.5,2698.8333333333335
12,Diamond Heights,37.72863,-122.44305,434.99173944522124,375480.5,2016.0
13,Downtown,37.79101,-122.4021,391.4343777674257,378401.0,2817.285714285714
14,Duboce Triangle,37.76964,-122.42611,502.59915555623616,378401.0,2780.25
15,Eureka Valley/Dolores Heights,37.75554,-122.43779,642.2486706357391,378401.0,2817.285714285714
16,Excelsior,37.72874,-122.41098,388.7659270023075,379050.0,3031.8333333333335
17,Financial District North,37.79101,-122.4021,391.36253308010487,378401.0,2817.285714285714
18,Financial District South,37.79101,-122.4021,455.83621223779153,377232.8,2472.0
19,Forest Knolls,37.75706,-122.45509,321.84083657398736,374507.0,1781.5
20,Glen Park,37.72863,-122.44305,623.8261775374349,378725.5,2899.5
21,Golden Gate Heights,37.757912,-122.46402,639.3935574881154,377622.2,2601.4
22,Haight Ashbury,37.76525,-122.43596,449.5447622856192,378401.0,2817.285714285714
23,Hayes Valley,37.76525,-122.43596,355.93282794805776,378401.0,2817.285714285714
24,Hunters Point,37.72551,-122.37178,170.62491987132685,377427.5,2489.0
25,Ingleside,37.721161,-122.487068,367.8951440852775,377427.5,2509.0
26,Ingleside Heights,37.72116,-122.48707,384.7979281346047,379374.5,2960.0
27,Inner Mission,37.75416,-122.41947,397.67371473613446,378401.0,2817.285714285714
28,Inner Parkside,37.74961,-122.48999,519.3856038526768,379861.25,3224.0
29,Inner Richmond,37.769112,-122.483566,378.59431396136455,378401.0,2817.285714285714
30,Inner Sunset,37.74961,-122.48997,413.66751546215943,378401.0,2817.285714285714
31,Jordan Park/Laurel Heights,37.78553,-122.456,529.3841850673389,378401.0,2817.285714285714
32,Lake --The Presidio,37.80152,-122.45457,409.95435219297514,377427.5,2555.1666666666665
33,Lone Mountain,37.7789,-122.45496,478.2285530213679,377427.5,2555.1666666666665
34,Lower Pacific Heights,37.79298,-122.43579,539.237968878326,378401.0,2817.285714285714
35,Marina,37.79972,-122.46689,583.7492694814548,378401.0,2817.285714285714
36,Merced Heights,37.71993,-122.46595,788.8448175872469,380348.0,3414.0
37,Midtown Terrace,37.75331,-122.44703,550.5103482917151,377427.5,2647.5
38,Miraloma Park,37.73415,-122.457,779.810842264425,375967.25,2155.25
39,Mission Bay,37.78323,-122.40065,566.1922135483312,377752.0,2663.6666666666665
40,Mission Dolores,37.75184,-122.42522,418.9156225067234,377427.5,2555.1666666666665
41,Mission Terrace,37.72863,-122.44305,523.4662013248023,379569.2,3173.4
42,Nob Hill,37.79298,-122.43579,458.2040944846015,378401.0,2817.285714285714
43,Noe Valley,37.75331,-122.44703,542.4429128151736,378401.0,2817.285714285714
44,North Beach,37.80055,-122.40433,411.646875881678,379179.8,2990.8
45,North Waterfront,37.80055,-122.40433,498.2697550078768,378401.0,2818.4
46,Oceanview,37.71993,-122.46595,330.0973846552545,377103.0,2434.0
47,Outer Mission,37.7228,-122.43869,242.37095202049665,379374.5,2995.75
48,Outer Parkside,37.7517,-122.446,485.0270126111035,378401.0,2817.285714285714
49,Outer Richmond,37.76911,-122.48357,473.90077331796317,378401.0,2817.285714285714
50,Outer Sunset,37.74961,-122.48999,394.21903228550775,378401.0,2817.285714285714
51,Pacific Heights,37.79298,-122.43579,689.5558168113663,378401.0,2817.285714285714
52,Park North,37.72838,-122.47851,373.732856371763,378401.0,2817.285714285714
53,Parkside,37.74961,-122.48999,336.172661037069,377427.5,2555.1666666666665
54,Parnassus/Ashbury Heights,37.76355,-122.45765,632.740453508577,378401.0,2817.285714285714
55,Portola,37.73467,-122.40106,327.11392534647274,376454.0,2318.4
